구,동내,단지명,동,계약년월,계약일,거래금액(만원),등기일자
제주시,조천읍,일이삼타운,-,202411,11,21000,-
제주시,외도일동,외도부영1차,102,202411,11,14000,24.11.11
제주시,이도이동,엘루체,-,202411,11,8380,24.12.09
제주시,화북일동,화북주공4단지,415,202411,11,25650,24.12.17
제주시,화북이동,부웅크리스탈6차아파트,나동,202411,11,32000,24.11.28
제주시,용담이동,용두암현대3,-,202411,11,24000,-
제주시,도두일동,블루파크시티,-,202411,11,14500,24.11.18
제주시,외도일동,외도상익푸르미르,-,202411,10,30000,25.01.24
제주시,연동,벽강하이본타워,-,202411,9,12800,24.11.19
제주시,노형동,대원상록수5차,101,202411,9,33300,24.12.26
제주시,노형동,해오름,-,202411,9,55000,-
제주시,이호이동,이호재영샤르빌13차,-,202411,9,35500,-
제주시,이호이동,이호재영샤르빌13차,-,202411,9,35500,25.02.25
제주시,노형동,노형이-편한세상,103동,202411,8,95000,25.04.01
제주시,연동,제원3차,2,202411,8,21000,25.01.06
제주시,일도이동,서해1,-,202411,8,24000,24.11.13
제주시,애월읍,제주하귀휴먼시아1단지,106,202411,8,42800,25.01.24
제주시,조천읍,광명샤인빌,104,202411,8,21500,24.12.16
제주시,이도이동,보경스카이빌,-,202411,7,41000,24.12.06
제주시,조천읍,광명샤인빌,103,202411,7,23000,24.12.06
제주시,이도이동,벽성뜨래별,-,202411,7,37000,-
제주시,화북일동,화북주공1단지,-,202411,7,44000,-
제주시,이도이동,벽성뜨래별,1,202411,7,37000,24.12.18
제주시,화북일동,화북주공1단지,화북1아파트 103동,202411,7,44000,24.12.27
제주시,이도일동,광양미화,-,202411,7,18600,-
제주시,연동,남경하이빌,-,202411,6,28200,24.12.23
제주시,화북이동,제주삼화엘에이치2단지,203,202411,6,60000,25.01.17
제주시,노형동,중흥에스클래스(미리내마을),105,202411,6,84000,25.01.13
제주시,애월읍,제주하귀휴먼시아1단지,108,202411,6,48000,24.11.29
제주시,노형동,노형벽강하이본타워7차,-,202411,6,54000,25.01.06
제주시,이도이동,현원아트빌,-,202411,6,22300,24.11.07
제주시,노형동,부영2차,201,202411,5,32500,25.01.24
제주시,화북일동,"화북주공2,3단지",화북2아파트204,202411,5,31500,25.01.17
제주시,외도일동,골드하우스,에이,202411,5,43000,24.12.02
제주시,노형동,현대아이파크,101,202411,5,60000,25.03.07
제주시,건입동,미화(사라미화맨션),-,202411,5,13000,24.12.12
제주시,연동,제웅솔내음,-,202411,5,6000,24.11.05
제주시,연동,연동월드하우스,연동월드하우스,202411,5,28300,24.11.21
제주시,외도일동,대원상록수11차아파트,-,202411,5,35000,25.01.20
제주시,일도이동,일도더팰리스,-,202411,5,36280,24.12.02
제주시,삼도일동,한성베르뜨2차,-,202411,4,31000,24.12.23
제주시,도남동,도남해모로리치힐아파트,108동,202411,4,55000,24.11.04
제주시,노형동,유나이티드,-,202411,4,14200,25.02.28
제주시,외도일동,외도부영1차,102,202411,4,14400,24.11.12
제주시,일도이동,일도신천지,108,202411,4,26000,24.11.27
제주시,조천읍,쉬젠비아채,다동,202411,4,16000,25.01.20
제주시,일도이동,대유대림아파트,제주대유대림아파트 306,202411,4,52700,24.12.10
제주시,노형동,부영2차,203,202411,3,35500,24.12.06
제주시,연동,엘리시아,-,202411,3,9200,24.11.28
