NO,시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),동,층,매수자,매도자,건축년도,도로명,해제사유발생일,거래유형,중개사소재지,등기일자
1292,제주특별자치도 제주시 아라일동,6142-13,6142,13,염광,46.32,202403,28,"24,000",4,2,개인,개인,1990,인다15길 5-11,-,중개거래,제주 제주시,24.04.05
1293,제주특별자치도 제주시 월평동,745,745,0,제주첨단꿈에그린2단지아파트,101.8684,202403,28,"59,000",202동,6,개인,개인,2017,첨단로동길 74,-,중개거래,제주 제주시,24.04.09
1294,제주특별자치도 제주시 애월읍 하귀1리,166-1,166,1,제주하귀휴먼시아2단지,84.85,202403,27,"41,500",202,4,개인,개인,2010,하귀9길 71,-,중개거래,제주 제주시,24.05.13
1295,제주특별자치도 제주시 일도이동,160-2,160,2,스카이캐슬,84.46,202403,27,"55,000",-,11,개인,법인,2022,고마로11길 37,-,직거래,-,24.04.05
1296,제주특별자치도 제주시 일도이동,133-9,133,9,전원아트빌(2차),83.19,202403,27,"20,000",-,4,개인,개인,2004,동문로 132,20240618,중개거래,제주 제주시,-
1297,제주특별자치도 제주시 한림읍 한림리,1449-1,1449,1,회성푸르니5차,72.8309,202403,26,"26,100",A동,7,개인,개인,2015,한림남2길 8,-,직거래,-,24.03.27
1298,제주특별자치도 제주시 연동,293-61,293,61,가나타운,48.3994,202403,26,"15,500",-,4,개인,개인,2014,은남4길 17,-,중개거래,제주 제주시,24.04.18
1299,제주특별자치도 제주시 노형동,754-4,754,4,부영2차,45.9078,202403,26,"32,000",205,4,개인,개인,2001,과원로 11,-,직거래,-,24.03.28
1300,제주특별자치도 제주시 애월읍 하귀1리,167,167,0,제주하귀휴먼시아1단지,84.72,202403,26,"38,000",106,11,개인,개인,2010,하귀9길 45,-,직거래,-,24.04.08
1301,제주특별자치도 제주시 외도일동,439-6,439,6,블루배리,82.94,202403,26,"27,300",1,5,개인,개인,2008,우령6길 2,-,중개거래,제주 제주시,24.04.30
1302,제주특별자치도 제주시 한림읍 옹포리,283,283,0,한림오션캐슬아파트,72.673,202403,25,"26,000",103동,2,개인,개인,2018,한림로 554,-,직거래,-,24.04.22
1303,제주특별자치도 제주시 삼양이동,2318,2318,0,제주삼화사랑으로부영3차,84.3616,202403,25,"54,000",-,5,개인,개인,2013,화삼로 167,20240508,중개거래,제주 제주시,-
1304,제주특별자치도 제주시 삼도이동,1241-14,1241,14,동인스파월드빌,152.66,202403,25,"25,000",-,10,개인,개인,2004,중앙로26길 2,-,직거래,-,24.04.22
1305,제주특별자치도 제주시 도련일동,1789-2,1789,2,미듬하나로(도련),54.4124,202403,25,"15,000",미듬하나로아파트 나동,6,개인,개인,2002,삼봉로 115-1,-,중개거래,제주 제주시,24.03.29
1306,제주특별자치도 제주시 구좌읍 세화리,1555-1,1555,1,나이스6차,79.6112,202403,25,"25,800",-,6,개인,법인,2017,구좌로 26-12,-,중개거래,제주 제주시,24.05.30
1307,제주특별자치도 제주시 노형동,920-12,920,12,경진아트빌,18.5225,202403,25,"5,700",-,6,개인,개인,2011,원노형2길 36,-,중개거래,제주 제주시,24.03.25
1308,제주특별자치도 제주시 노형동,920-12,920,12,경진아트빌,18.5225,202403,25,"5,700",-,6,개인,개인,2011,원노형2길 36,-,직거래,-,24.03.25
1309,제주특별자치도 제주시 노형동,Jan-83,2583,1,노형뜨란채,75.18,202403,25,"58,800",211,10,개인,개인,2006,수덕로 44,-,중개거래,제주 제주시,24.04.25
1310,제주특별자치도 제주시 삼양이동,2318,2318,0,제주삼화사랑으로부영3차,84.3616,202403,25,"54,000",-,5,개인,개인,2013,화삼로 167,20240509,중개거래,제주 제주시,-
